City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Bahawalpur,PK,2/12/2022 7:56,29.4,71.6833,79.92,12,0,12.73,clear sky
226,Roald,NO,2/12/2022 7:56,62.5833,6.1333,39.34,75,75,9.22,light intensity drizzle
227,Mar Del Plata,AR,2/12/2022 7:56,-38.0023,-57.5575,61.88,73,75,20,broken clouds
228,Niksic,ME,2/12/2022 7:56,42.7731,18.9445,46.26,94,93,6.6,overcast clouds
229,Port Lincoln,AU,2/12/2022 7:56,-34.7333,135.8667,73.53,49,0,8.97,clear sky
230,Kloulklubed,PW,2/12/2022 7:56,7.0419,134.2556,82.2,78,100,20.11,overcast clouds
231,Bougouni,ML,2/12/2022 7:56,11.417,-7.479,69.39,17,5,7.78,clear sky
232,Kavaratti,IN,2/12/2022 7:56,10.5669,72.642,80.74,72,10,7.94,clear sky
233,Batagay-Alyta,RU,2/12/2022 7:56,67.8006,130.4114,-20.18,87,40,4.52,scattered clouds
234,Tessalit,ML,2/12/2022 7:56,20.1986,1.0114,64.78,17,3,8.79,clear sky
235,Gizo,SB,2/12/2022 7:56,-8.103,156.8419,81.52,73,100,3.42,light rain
236,Sarmizegetusa,RO,2/12/2022 7:56,45.5167,22.7833,37.22,83,93,2.77,overcast clouds
237,Belaya Gora,RU,2/12/2022 7:56,68.5333,146.4167,-23.85,94,100,5.93,overcast clouds
238,Onda,ES,2/12/2022 7:56,39.9667,-0.25,51.04,79,19,4.03,few clouds
239,Mehamn,NO,2/12/2022 7:56,71.0357,27.8492,22.87,73,100,5.75,snow
240,Kapuskasing,CA,2/12/2022 7:56,49.4169,-82.4331,-18.31,69,75,12.66,broken clouds
241,Concepcion Del Uruguay,AR,2/12/2022 7:56,-32.4825,-58.2372,59.99,97,100,4,light rain
242,Pachino,IT,2/12/2022 7:56,36.7186,15.0907,50.04,69,100,2.95,overcast clouds
243,Oksfjord,NO,2/12/2022 7:56,70.2396,22.3479,25.72,88,98,7.56,light snow
244,Aba,NG,2/12/2022 7:56,5.1066,7.3667,74.82,66,45,3.96,scattered clouds
245,Grand Gaube,MU,2/12/2022 7:56,-20.0064,57.6608,84.38,67,100,10,overcast clouds
246,Gijon,ES,2/12/2022 7:56,43.5357,-5.6615,50.85,94,89,1.59,overcast clouds
247,Troitsko-Pechorsk,RU,2/12/2022 7:56,62.7084,56.1964,12.69,93,100,7.18,light snow
248,Mayo,US,2/12/2022 7:56,38.8876,-76.5119,56.08,49,0,11.5,clear sky
249,Visby,SE,2/12/2022 7:53,57.6409,18.296,35.82,80,0,20.71,clear sky
250,Beboto,TD,2/12/2022 7:56,8.2668,16.939,83.5,11,3,5.77,clear sky
251,Labuhan,ID,2/12/2022 7:56,-6.8844,112.2051,81.07,83,100,9.84,overcast clouds
252,Samarai,PG,2/12/2022 7:56,-10.6167,150.6667,82.31,64,58,14.2,broken clouds
253,Saint-Joseph,RE,2/12/2022 7:56,-21.3667,55.6167,84.58,67,23,3.15,few clouds
254,Gladstone,AU,2/12/2022 7:56,-23.85,151.25,80.53,61,40,17.27,scattered clouds
255,Half Moon Bay,US,2/12/2022 7:56,37.4636,-122.4286,64.76,68,0,0,clear sky
256,Cockburn Town,TC,2/12/2022 7:56,21.4612,-71.1419,77.25,82,0,22.32,clear sky
257,Sinnamary,GF,2/12/2022 7:56,5.3833,-52.95,76.23,86,99,11.74,overcast clouds
258,Aklavik,CA,2/12/2022 7:56,68.2191,-135.0107,-21.17,98,17,8.9,few clouds
259,Salalah,OM,2/12/2022 7:56,17.0151,54.0924,76.84,51,4,7.67,clear sky
260,Straumen,NO,2/12/2022 7:56,63.8709,11.2999,34.63,74,100,7.18,overcast clouds
261,Ponta Delgada,PT,2/12/2022 7:56,37.7333,-25.6667,59.5,72,75,10.36,broken clouds
262,Vila Franca Do Campo,PT,2/12/2022 7:56,37.7167,-25.4333,59.2,81,83,6.13,broken clouds
263,Fare,PF,2/12/2022 7:56,-16.7,-151.0167,81.75,70,49,14.2,scattered clouds
264,Evensk,RU,2/12/2022 7:56,61.95,159.2333,-11.63,75,31,6.78,scattered clouds
265,Rawson,AR,2/12/2022 7:56,-43.3002,-65.1023,60.21,48,32,13.4,scattered clouds
266,Tanout,NE,2/12/2022 7:56,14.9709,8.8879,63.32,15,0,16.06,clear sky
267,Antigonish,CA,2/12/2022 7:56,45.6169,-61.9986,40.12,89,100,13.85,overcast clouds
268,Longyearbyen,SJ,2/12/2022 7:56,78.2186,15.6401,19.24,86,75,8.05,light snow
